高中英语单词表3500词乱序版（带音标）
a  art.一（个、件……）
register   n.登记簿，花名册，注册员v.登记，注册
secure   a.安心的,有把握的,牢靠的
slice  n.片，切面（薄）片
storm   n.风暴，暴（风）雨
themselves   pron.他/她/它们自己
whichever  pron.无论哪个;无论哪些
credit   n.信用；信赖；信誉
constant   a.经常的，不断的
adore   v.（不用于进行时）热爱，爱慕某人
beehive   n.蜂箱
centren.中心，中央
development   n.发展，发达，发育，开发
enthusiastic  a.热情的，热心的
fireplace  n.壁炉
grass  n.草；草场；牧草
hide  v.把…藏起来，隐藏
into  prep.到…里;向内；变成
link  v.连接；联系
mercy  n.怜悯
now   ad.现在
outline   n.概述，略述
performance  n.演出，表演
regret   n./vt.可惜,遗憾;痛惜;哀悼
security   n.安全，平安
slide  n.幻灯片,滑道v.滑行,滑动
story   n.故事，小说
then   ad.当时,那时,然后,那么
while  conj.在…的时候,和…同时n.一会儿，一段时间
crime   n.（法律上的）罪，犯罪
pull  拉，拖n.拉力，引力
adult   n.成年人
beer   n.啤酒
century   n.世纪，百年
devote   vt.把…奉献,把…专用（于）
entire  a.整个的，全部的
firewood  n.木柴
grateful  a.感激的，感谢的
hideandseek  捉迷藏
introduce  vt.介绍
lion  n.狮子
merely  ad.仅仅，只不过
nowadays   ad.当今，现在
output  n.产量，输出量
performer  n.表演者，执行者
regular   a.规则的，经常
see  vt.看见，看到；领会；拜会
slight   a.轻微的，细小的
stout   a.肥壮的，厚实牢固的
theoretical   a.理论的
whisper  v.低语，私下说
criminal   n.罪犯
at   prep.在（几点钟）;在（某处）
advance   v.推进，促进；前进
before   prep.在…以前；在…前面ad.以前conj.在…之前
ceremony   n.典礼，仪式，礼节
devotion   n.奉献，奉献精神
entrance  n.入口；入场；进入的权利;入学许可
firework   n.焰火
gravity  n.重力，地球引力
high  a.高的;高度的ad.高地
introduction  n.引进，介绍
lip  n.嘴唇
merry  a.高兴的，愉快的
nowhere   ad.任何地方都不,无处
outside   n.外面ad.在外面；向外面prep.在…外面
perfume  n.香水
regulation  n.规则，规章
seed   n.种子
slim   a.苗条的，纤细的
stove   n.（供烹饪用的）火炉，煤炉，电炉
theory   n.理论
whistle  n.口哨，口哨声
crew   n.全体船员
constitution   n.宪法，章程，身体素质
advantage   n.优点；好处
beg   v.请求，乞求，乞讨
certain   a.（未指明真实名称的）某…；确定的，无疑的；一定会…
diagram   n.图表，图样
entry  n.进入
firm  n.公司;企业a.坚固的,坚定的
great  a.伟大的,重要的,好极了ad.（口语）好极了，很好
highway  n.公路,主要交通道路
invent  vt.发明，创造
liquid  n.&a.液体；液体的
mess  n.凌乱
nuclear   a.原子核的，原子能的，核动力的
outspoken   a.直率，坦诚
perhaps  ad.可能，或
reject   v.拒绝
melonseed   瓜子
slip  n.片，条，纸片，纸条
straight   a.一直的，直的ad.一直地，直地
there   int.那！你瞧（表示引起注意）n.那里，那儿ad.在那里，往那里；（作引导词）表”存在"
white  a.白色的n.白色
criterion  n.标准，准则，原则
pulse  n.脉搏，（光、能量、波等的）脉动，搏动
adventure   n.冒险；奇遇
begin  v.开始,着手
certainly   ad.当然；一定，无疑
dial  vt.拨（电话号码）
envelope  n.信封
firmly  ad.牢牢地
Greece  *n.希腊
hill  n.小山;丘陵;土堆;斜坡
invention  n.发明，创造
list  n.一览表，清单
message  n.消息，音信
numb   a.麻木的，失去知觉的，迟钝的
outstanding  a.优秀的，杰出的
period  n.时期，时代
relate   vi.有关；涉及
seek  vt.试图;探寻
slow   ad.慢慢地，缓慢地
straightforward   a./ad.简单的，坦率的
therefore   ad.因此，所以
who  pron.谁
crop   n.庄稼；收成
athlete   n.运动员
advertise   vt.为……做广告
beginning   n.开始，开端
certificate   n.证明，证明书
dialogue  n.对话
environment  n.环境
first  num.第一a.&ad.第一；首次；最初n.开始；开端
greedy  a.贪婪的
hillside   n.（小山）山腰，山坡
inventor  n.发明者，创造者
listen  vi.听,仔细听
messy  a.乱七八糟的
number   n.数,数字,号码,数量
outward  ad.向外的，外出的
permanent  a.永久的，永恒的
relation   n.关系；亲属
seem   v.似乎，好像
small  a.小的，少的
strait   n.海峡
thermos   n.热水瓶
whole  a.整个的
cross   a.脾气不好的，易怒的n.十字形的东西vt.越过；穿过
construct   v.构筑；建造，建设
advertisement   n.广告
behalf   n.代表某人，为了某人
chain   n.链；链条
diamond   n.钻石，金刚石；纸牌中的方块
envy  vt.&n.忌妒；羡慕
fish  n.鱼；鱼肉vi.钓鱼；捕鱼
Greek  a./n.希腊的，希腊人的，希腊语的;希腊人，希腊语
hilly  a.丘陵的；多小山的
invitation  n.邀请，请帖
literature  n.文学
metal  n.金属a.金属制成的
nurse  n.护士；保育员
oval   n.&adj.椭圆；椭圆形的
permission  n.允许,许可,同意
relationship   n.关系
see-saw   n.跷跷板（游戏）
smart  a.灵巧的，伶俐的；（人、服装等）时髦的，帅的
strange   a.奇怪,奇特的,陌生的
these   a.&pron.这些
whom  pron.
crossing   n.十字路口，人行横道
pump  t.用泵抽水
advice   n.忠告，劝告，建议
behave   v.守规矩，行为
chainstore  连锁店
diary   n.日记；日记簿
equal  a.平等的vt.等于，使等于
fisherman  n.渔民；钓鱼健身者
green  a.绿色的；青的n.绿色
him  pron.他（宾格）
invite  vt.邀请，招待
literary  a.文学的
method  n.方法，办法
nursery  n.托儿所
over   prep.在…上方,越过,遍及ad.翻倒,遍布,越过,结束
permit  vt.许可,允许;执照n.许可证
relative   n.亲属，亲戚
seize   vt.抓住
smell  v.嗅，闻到；发气味n.气味
stranger   n.陌生人，外人
they   pron.他（她）们；它们
whose  pron.谁的
crossroads   n.交叉路口
athletic   a.健壮的,体育运动的
advise   vt.忠告，劝告，建议
behaviour n.行为，举止
chair   n.椅子
dictation  n.听写
equality  n.平等
fist  n.拳
greengrocer  n.（英）蔬菜水果商
himself  pron.他自己
Ireland  *n.爱尔兰
litre  n.升；公升
metre  n.米，公尺
nursing   n.(职业性的）保育,护理
overcoat   n.大衣
person  n.人
relax  v.（使）放松，轻松
seldom   ad.很少，不常
smelly  a.有臭味的,发出臭味的
straw   n.稻草
thick   a.厚的
why  ad./int.为什么,你难道不知道（表示反驳、不耐烦等）
crowd   n.人群vt.拥挤，群聚
construction   n.建造,建设,建筑物
advocate   v.拥护，支持，提倡
behind  prep.在…后面ad.在后面；向后
chairman   n.主席，会长；议长
dictionary   n.词典，字典
equip  vt.提供设备；装备；配备
fit  a.健康的,适合的v.（使）适合，安装
greet  vt.问候；向……致敬
hire  vt.租用
Irish  a.爱尔兰的，爱尔兰人的
litter  v.乱丢杂物
Mexican  a.墨西哥的
nut   n.坚果,果仁
overcome   v.克服，解决
personal  a.个人的，私人的
relay   n.接力，接替人，中转v.接替，补充；转运
select   vt.选择，挑选，选拔
smile  n.&v.微笑
strawberry   n.草莓
thief   n.窃贼,小偷
wide  a.宽阔的
crowded   a.拥挤的
punctual  a.准时的
aeroplane   n.飞机
being   n.物；生物；人
chairwoman   n.女主席,女会长；女议长
die   v.死
equipment  n.装备，设备
fittingroom  ] 试衣间
greeting  n.祝贺
his  pron.他的
iron  n.铁，熨斗vt.熨烫
little  a.小的,少的ad.很少地,稍许n.没有多少,一点
Mexico  *n.墨西哥
nutrition   n.营养，滋养
overhead   a.在头顶上;架空的
personnel  n.全体人员，职员
relevanta.紧密相关,有意义的
self   n.自己，自我，自身
smog  n.烟雾
stream   n.小河；溪流
thin  a.薄的；瘦的；稀的
widespread  a.分布广的,普遍的
cruel   a.残忍的，残酷的；无情的
athletics   n.田径
affair   n.事，事情
Belgium   *n.比利时
chalk   n.粉笔
diet   n.饮食
eraser  n.橡皮擦；黑板擦
five  num.五
grey  a.灰色的；灰白的
history  n.历史，历史学
irrigate  vt.灌溉
live  vi.生活;居住;活着a.活的,活着的;实况,现场（直播）的
microcomputer  n.微机
nylon   n.尼龙
overlook   v.忽略,不予理会
personally  ad.就自己而言
reliable   a.可信赖的，可依靠的
selfish   a.自私的
smoke   n.烟v.冒烟；吸烟
street   n.街，街道
thing   n.东西；物品，用品；事情，事件
wife  n.妻子
cry   n.叫喊；哭声v.喊叫；哭
consult   v.咨询，商量
affect   vt.影响
belief   n.信条，信念
challenge   n.挑战
differ   v.相异，有区别
error  n.错误；差错
fix  vt.修理；安装；确定，决定
grill  n.（烧食物的）烤架
hit  n.&vt.打,撞,击中
irrigation  n.灌溉
lively  a.活泼的;充满生气的
microscope  n.显微镜
overweight  a.太胖的,超重的
persuade  vt.说服，劝说
relief   n.轻松,解脱,缓和,救济
self-service   n.自助,自我服务的
smoke-free   a.非吸烟的,无烟的
strength   n.力量，力气
think   v.想；认为；考虑
wild  a.未开发的，荒凉的；野生的，野的
cube   n.立方体
punctuate  v.加标点
affection   n.喜爱，钟爱
believe   v.相信，认为
challenging   a.具有挑战性的
difference   n.不同
erupt  v.（火山）爆发，喷发
flag  n.旗；标志；旗舰
grocer  n.零售商人；食品店
hive  n.蜂房；蜂箱
island  n.岛
living  a.活着的n.生计
microwave  n.微波
owe  vt.欠（债等）
pest  n.害虫
religion   n.宗教
sell  v.卖，售
smoker   n.吸烟者
strengthen   vt.加强，增强
thinking   n.思索;见解;想法
wildlife  n.野生动物
cubic   a.立方体的，立方形的
Atlantic   a.大西洋的
afford   vt.负担得起（……的费用）；抽得出（时间）；提供
bell   n.钟,铃;钟声;钟形物
champion   n.冠军，优胜者
different   a.不同的，有差异的
escape  n.&vi.逃跑；逃脱
flame  n.火焰，光辉
ground  n.地面
hobby  n.业余爱好，嗜好
it  pron.它
load  n.担子，货物
mid-autumn  n.中秋
own  a.自己的v.拥有,所有
pet  n.宠物，爱畜
religious   a.宗教的
semicircle   n.半圆
smoking  n.吸烟,抽烟;冒烟
stress   n.精神压力，心理负担v.强调，重读
third   num.第三
will  n.意志,遗嘱
cuisine   n.饭菜，佳肴
consultant   n.顾问
afraid   a.害怕的；担心
belly   n.肚子
chance   n.机会，可能性
difficult   a.难；艰难；不易相处
especially  ad.特别，尤其
flaming  a.火红的；火焰般的
group  n.组，群
hold  vt.拿；抱；握住；举行；进行
Italian  a.意大利的；意大利语的n.意大利人；意大利语
loaf  n.一个面包
midday  n.中午,正午
owner  n.物主，所有人
petrol  n.石油
rely   v.依赖，依靠
send  v.打发，派遣；送，邮寄
smooth  a.光滑的;平坦的
strict   a.严格的，严密的
thirst   n.渴；口渴
will  modalv.将,会；愿意，要
culture   n.文化
punctuationn.标点符号
Africa  *n.非洲
belong   vi.属，附属
changeable   a.易变的，变化无常的
difficulty   n.困难，费力
essay  n.散文；文章；随笔
flash  n.闪；闪光；转瞬间
grow  v.生长；发育；种植；变成
hole  n.洞，坑
Italy  *n.意大利
local  a.当地的；地方的
middle  n.中间;当中;中级的
ownership  n.所有制
phenomenon  n.现象
remain   vt.余下,留下vi.保持,仍是
senior   a.年长的,资深的,高年级的n.上级，长辈，高年级生
snack  n.小吃
strike   v.（钟）鸣;敲（响）,罢工
thirsty   a.渴
willing  a.乐意的；愿意的
cup   n.茶杯
theAtlanticOcean   大西洋
African   a.非洲的，非洲人的n.非洲人
below   prep.在……下面
change   n.零钱；找头v.改变，变化；更换；兑换
dig   v.挖（洞沟）,掘
Europe*  n.欧洲
flashlight  n.手电
growth  n.生长，增长
holiday  n.假日；假期
its  pron.它的
lock  n.锁vt.锁，锁上
MiddleEast  n.中东
ox  n.牛；公牛
telephone  v.打电话n.电话，电话机
remark   n.陈述；话；议论
sense   n.感觉，意识
snackbar   n.快餐店
strike   vt.擦（打）火,侵袭
thirteen   num.十三
willingly   ad.乐意地
cupboard   n.碗柜；橱柜
consume   v.消耗，耗费（燃料，能量，时间等）
afte   rad.在后；后来prep.在…之后；在后面conj.在…以后
belt   n.（皮）带
channel   n.频道；通道；水渠
digest   v.消化,领会
European  a.欧洲的，欧洲人的n.欧洲人
flat  a.平的n.楼中一套房间；公寓
gruel  n.粥
holy  a.神圣的
itself  pron.它自己
locust  n.蝗虫
midnight  n.午夜
oxygen   n.氧；氧气
phone-booth  n.公用电话间
remember   v.记得，想起
sensitive   a.体贴的,善解人意的
snake   n.蛇v.蛇般爬行;蜿蜒行进
string   n.细绳，线，带
thirty   num.三十
willingness  n.意愿；愿望
cure   n.&vt.治疗；医好
punish  v.惩罚，处罚
afternoon   n.下午，午后
bench   n.长凳；工作台
chant   v./n.反复呼喊
digital   a..数字的，数码的
evaluate  v.估值，评价，评估
flee  v.逃走；逃跑
guarantee  v.保证，担保
home  n.家ad.到家；回家
London  n.伦敦
might  v.aux.可能，也许，或许
photograph   n.照片
remind  vt.提醒，使记起
sentence   n.句子
snatch  v.夺，夺得，夺走
strong   a.强的；坚固的；强烈的；坚强的
this   a.&pron.这，这个
win  n.获胜，赢得
curious   a.好奇的；奇异的
atmosphere   n.大气；气氛
afterward  ad.后来
bend  vt.使弯曲
chaos   n.混乱，杂乱，紊乱
dignity   n.庄重，庄严，尊严。尊贵，高尚
even  ad.甚至，连（…都）；更
flexible  a.灵活的，可变动的
guard  n.防护装置，警戒
homeland  n.祖国
lonely  a.孤独的，寂寞的
mild  a.温和,暖和的,凉爽的
photograph  n.照片
remote   a.偏远的，偏僻的
separate   v.使分开，使分离a.单独的，分开的
sneaker   n.（复）轻便运动鞋（美）
struggle   vi.斗争
thorough   a.彻底的
wind  n.风
currency   n.货币；现金
contain   v.包含；包括；能容纳
again   ad.再一次；再，又
beneath   prep.在…下方（面）
character   n.（汉）字.字体；品格
dilemma   n.（进退两难的）窘境，困境
欢迎下载、我牺牲自己的分，为大家分享的哈
flesh  n.肉
guess  vi.猜
hometown  n.故乡
long  a.长的，远ad.长久
mile  n.英里
photographer   n.摄影师
remove   vt.移动，拿走，脱掉（衣服等）
separately   ad.单独地，各自地
sneeze  v.打喷嚏
stubborn   a.固执的，倔强的
those   a.&pron.那些
wind  vt.缠，连带；蜿蜒，弯曲
curriculum  n.（学校的）全部课程
punishment  n.惩罚
against   prep.对着，反对
beneficial   a.有利的，有帮助的，有用的
characteristic   a.典型的，独特的
dimension   n.量度，尺寸，面积，程度，范围
evening  n.傍晚，晚上
flight  n.航班n.楼梯的一段
guest  n.客人，宾客
homework  n.家庭作业
look  n.看，瞧v.看，观看v.link看起来
milk  n.牛奶vt.挤奶
phrase  n.短语；习惯用语
rent   n.&v.租金
separation   n.分离，隔离
sniff  v.抽鼻子（哭,患感冒时）
student   n.学生
though   conj.虽然，可是
windbreaker  n.风衣,防风夹克
curtain   n.窗帘
atom   n.原子，微粒
age   n.年龄；时代
benefit   n./v.优势,益处,使…受益
charge   v.要求收费；索价；将充电n.费用；价钱
dine  v.吃饭；（指正式）进餐
event  n.事件，大事
float  vi.漂浮，浮动
guidance  n.引导，指导
honest  a.诚实的，正直的
loose  a.松散的；宽松的
million  num.百万n.百万个（人或物）
physical  a.身体的；物理的
repair   n.&vt.修理；修补
September   n.9月
snow   n.雪vi.下雪
studio   n.工作室，演播室
thought   n.思考,思想;念头
window  n.窗户；计算机的窗
cushion   n.垫子
container   n.容器
agency   n.代理机构
bent   a.弯的
chapter   n.章
dining-room   食堂，饭厅
eventually  ad.最终地
flood  n.洪水vt.淹没，使泛滥
guide  n.向导，导游者
honey  n.蜂蜜
lorry  n.（英）运货汽车，卡车
millionaire  n.百万富翁
physician   n.医生
repairs   n.修理工作
serious   a.严肃的,严重的,认真的
snowball   n.雪球
study   v.学习；研究n.书房
thousand   num.千
windy  a.有风的，多风的
custom   n.习惯，习俗，风俗习惯
pupil  n.（小）学生
agenda   n.（会议）议程表，议事日程
beside   prep.在…旁边；靠近
chart   n.图表；航海图
dinner   n.正餐，宴会
ever  ad.曾经；无论何时
floor  n.地面，地板.（楼房的）层
guilty  a.有罪,犯法的,做错事的
HongKong  *n.香港
loss  n.丧失；损耗
mind  n.思想,想法v.介意,关心
physicist  n.物理学家
repeat  vt.重说，重做
servant   n.仆人，佣人
snowman  n.雪人
stupid   a.愚蠢的，笨的
thread   n.线
wine  n.酒
customer   n.（商店）顾客，主顾
attach   v.把…固定，重视
agent   n.代理人，经济人
besides   prep.除…以外（还有）ad.还有，此外
chat   n.&vi.聊天，闲谈
dinosaur   n.恐龙
every  a.每一，每个的
flour  n.面粉，粉
guitar  n.吉他，六弦琴
honour  n.荣誉，光荣vt.尊敬，给予荣誉
lose  vt.失去，丢失
mine  n.矿藏,矿山vt.开采pron.我的
physics   n.物理（学）
replace   vt.取代
serve   vt.招待（顾客等）,服务
snowy   a.雪的；下雪的；多雪的
style   n.方式，作风，款式
three   num.三
wing  n.机翼，翅膀
customs   n.海关，关税
contemporary   a.属同时期的，同一时代的
aggression   n.侵略
best（good,well的最高级）   a.&ad.最好的；最好地，最n.最好的（人或物）
cheap   a.便宜的，贱
dioxide   n.二氧化物
everybodypron.每人，人人
flow  vi.流动
gun  n.枪，炮
hook  n.&v.钩子；衔接，连接
Lost&Found  失物招领处
mineral  n.矿物质，矿物
pianist  n.钢琴家
reply   n.回答，答复
service   n.服务
so  ad.如此，这么；非常；同样conj.因此，所以
subject   a.隶属的；受支配的；易受…的；在…条件下vt.使隶属；使服从；使受到n.题目；主题；学科；主语；主体
thrill   n./v.兴奋，激动
winner  n.获胜者
cut  v./n.切，剪，削，割,伤口
purchase  v.购买，采购
aggressive   a.侵略的；咄咄逼人
best-seller   n.畅销书
cheat   n.&v.骗取，哄骗；作弊
dip   vt.浸，蘸；把…放入又取出
everyday  a.每日的；日常的
flower  n.花
gymnasium  n.体操；体育馆；健身房
hooray  int.好哇！（欢呼声）
lot  n.许多，好些
minibus  n.小型公共汽车
piano  n.钢琴
report   n.&v.报道，报告
service-charge   n.服务费,小费
soap   n.肥皂
subjective   a.主观的
thriller   n.惊险小说
winter  n.冬天，冬季
cycle   vi.骑自行车
attack   vt./n.攻击，袭击
ago  ad.以前
better  a.&ad.较好的，更好的；好些；更好地；更，更多n.较好的事物；较优者v.改善；胜过
check   n.检查；批改vt.校对，核对；检查；批改
diploma   n.毕业文凭；学位证书
everyone  pron.每人，人人
flu  n.流行性感冒
gymnastics  n.体操
hope  n.&v.希望
loud  a.大声的
minimum  a.最小的
pick   v.拾起，采集；挑选
reporter   n.记者，新闻通讯员
session   n.一场,一节,一段时间
sob  n.&v.抽泣，啜泣
submit   v.提交，呈递（文件，建议等）
throat  n.喉咙
wipe  v.擦；擦净；擦干
cyclist   n.骑自行车的人
content  a.甘愿的,满意的n.内容
agree   v.同意；应允
betray   v.出卖,泄露（机密）,辜负
cheek   n.面颊，脸蛋
direct   a./vt.直接的；直达的；直截了当的指挥；指导；监督；管理；指挥（演奏）；导演（电影）
everything  pron.每件事，事事
fluency  n.（外语）流利，流畅
hopeful  a.有希望的；有前途的
loudly  ad.大声地
miniskirt  n.超短裙
picnic  n.&v.野餐
represent   vt.代表
set  vt.释放，安置n.装备，设备
soccer  n.英式足球
subscribe   v.订阅,订购（报刊等）
through  prep.穿（通）过;从始至终ad.穿过;自始至终,全部
wire  n.电线
pure  a.纯的,不掺杂的
agreement   n.同意，一致；协定，协议
between   prep.在（两者）之间；在…中间
cheer   n.&vi.欢呼；喝彩
direction   n.方向；方位
everywhere  ad.到处
fluent  a.（外语）流利的，流畅
hopelessa.没有希望,不可救药的
loudspeaker   n.扬声器，喇叭
minister  n.部长；牧师
picture  n.图片，画片，照片
representative   n.代表,典型人物
settle   vi.安家，定居
social  a.社会的；社交的
substitute   v.代替，取代
throughout  prep.遍及，贯穿
wisdom  n.智慧
attain   v.（经过努力）获得,得到
agricultural   a.农业的
beyond   prep.在…的那边
Cheerup   振作起来！提起精神！
director   n.所长，处长，主任；董事；导演
evidence  n.证据，证明
fly  n.飞行；苍蝇
horrible  a.令人恐惧；恐怖的
lounge   n.休息厅；休息室
ministry  n.（政府的）部
pie  n.甜馅饼
republic   n.共和国
settlement   n.新拓居地；（美）部落，村落
socialism  n.社会主义
subtraction   n.（算数中的）减
throw  v.投,掷,扔
wise  a.聪明,英明的,有见识的
continent   n.大陆，大洲；陆地
agriculture   n.农业，农学
bicycle   n.自行车
cheerful   a.兴高采烈的，快活的
directory   n.姓名地址录
evident  a.清楚的，显而易见的
fly  vi.（鸟、飞机）飞；（人乘飞机）飞行；（旗子等）飘动vt.空运（乘客，货物等）；放（风筝、飞机模型等）
horse  n.马
love   n.&vt.爱；热爱;很喜欢
minority  n.少数；少数民族
piece  n.一块（片，张，件…）
reputation   n.名声，名誉
settler   n.移居者，开拓者
socialist  a.社会主义的
succeed   vi.成功
thunder  n.&v.雷声，打雷
wish  n.愿望，祝愿vt.希望，想要，祝愿
purple  n./a.紫色
ahead   ad.在前，向前
bid   v./n.出价，投标，向（某人）道别
cheers   int.干杯，谢谢，再见
dirt  n.污物；脏物
evolution  n.进化，演变
focus  v./n.集中（注意力，精力）于，焦点，中心点
hospital  n.医院
lovely   a.美好的，可爱的
minus  prep.&a.负的，减去的
pig  n.猪
request   n.请求，要求的事物
seven   num.七
society  n.社会
success   n.成功
thunderstorm  n.雷电交加暴风雨
with  prep.关于,带有,以,和,用,有
attempt   vt.试图，尝试
aid   n.援助；救护；辅助器具
big   a.大的
cheese   n.奶酪
dirty   a.脏的
exact  a.精确的；确切的
fog  n.雾
host  n.主人；节目主持人v.做主人招待
low  a.&ad.低；矮
minute  n.分钟;一会儿，瞬间
pile  n.堆
require   vt.需求；要求
seventeen   num.十七
sock  n.短袜
successful   a.成功的,有成就的
Thursday  n.星期四
withdraw  v.撤回，撤离
continue   vi.继续
AIDS   n.艾滋病
bicycle   n.自行车
chef   n.厨师长，主厨
disability   n..残疾；无能
exactly  ad.精确地；确切地
foggy   a.多雾的
hostess  n.女主人
luck   n.运气，好运
mirror  n.镜子
pill  n.药丸，药片
requirement   n.需要；要求；必要的条件
seventh   num.第七
socket   n.（电源）插座
such   ad.那么pron.（泛指）人，事物a.这样的，那样的
thus  ad.这样；因而
within  prep.在……里面
purpose  n.目的，意图
aim   n.目的；目标v.计划，打算；瞄准；针对
bill   n.账单；法案，议案；（美）钞票，纸币
chemical   a.化学的n.化学品
disabled   a.残废的，残疾的
examination  n.考试，测试；检查；审查
fold   vt.折叠；合拢
hot  a.热的
lucky   a.运气好，侥幸
miss  vt.失去，错过，缺
pillow  n.枕头
rescue   vt.营救，援救
seventy   num.七十
sofa  n.（长）沙发
suck   vt.吸吮
Tibet  n.西藏
without  prep.没有
attend   v.看护，照料，服侍；出席，参加
air   n.空气；大气
billion   num.十亿，百亿
chemist   n.药剂师；化学家
disadvantage   n.不利条件；弱点
examine  vt.检查；诊察
folk   a.民间的
hotdog  n.热狗
luggage   n.行李
Miss.  n.小姐,女士
pilot  n.飞行员
research   n.研究，调查
several   pron.几个,数个a.若干
softsɔft;sɔ:ft] a.软的，柔和的
sudden   a.突然的
Tibeta  n.西藏人；西藏语
witness  v./n.目击者，见证人
contradict   v.反驳，驳斥，批驳
aircraft   n.飞机
bingo   n.宾戈游戏
chemistry   n.化学
disagree   vi.意见不一致，持不同意见
example  n.例子；榜样
follow   vt.跟随；仿效；跟得上
hotel  n.旅馆，饭店，宾馆
lunch  n.午餐，午饭
missile  n导弹
pin  n.别针v.别住,钉住
resemble  v.（不用进行时）像，看起来像
severe  a.极为恶劣,十分严重的
software  n.软件
suffer   vi.受苦，遭受
tick  vt.作记号
wolf（复wolves）  n.狼
purse  n.钱包
airlinen.航空公司；航空系统
biochemistryn.生物化学
cheque   n.支票
disagreement   n.意见不一致；相违；争论
excellent  a.极好的，优秀的
following   a.接着的；以下的
hour  n.小时
lung  n.肺；肺脏
mist  n.雾
pine   n.松树
reservation   n.预定
sew  vi.缝,缝制；缝补；缝纫
softdrink   n.清凉饮料
suffering   n.痛苦，苦难
ticket  n.票；卷
woman  n.妇女女人
attention   n.注意，关心
airmail   n.航空邮件
biography   n.传记
chess   n.棋
disappear   vi.消失
except  prep.除……之外
fond  a.喜爱的，爱好的
house  n.房子；住宅
mistake  n.错误vt.弄错
pineapple   n.菠萝
reserve   n.&v.储备；预定
sex   n.性，性别
softball  n.垒球
sugar   n.糖
tidy  a.整洁的，干净的vt.弄整洁，弄干净
wonder  v.对…疑惑，感到惊奇,想知道n.惊讶,惊叹;奇迹
contradictory   a.相互矛盾,对立的
airplane   n.（美）飞机
biology   n.生物（学）
chest   n.箱子；盒子；胸部
disappoint  vt.使失望
exchange  n.交换，掉换；交流
food  n.食物，食品
housewife  n.家庭主妇
mistaken  a.错误的
ping-pong  n.乒乓球
resign   v.辞职
shabby   a.破旧,破烂,衣衫褴褛的
soil  n.土壤，土地
suggest   vt.建议，提议
tie  vt.（用绳，线）系，拴，扎n.领带，绳子，结；关系
wonderful  a.美妙的，精彩的；了不起的；太好了
push  n.&v.推
airport   n.航空站，飞机场
bird   n.鸟
chew   vt.咀嚼
disappointment   n.失望；沮丧
excite  vt.使兴奋，使激动
fool   n.傻子，蠢人
housework  n.家务劳动
misunderstand  v.误会；不理解
pinkpɔɡa.粉红色的
resist   v.抵抗；挡开
shade   n.阴凉处，树荫处
solar  a.太阳的
suggestion   n.建议
tiger  n.老虎
wood  n.木头,木材,树木,森林
attentively   ad.注意地
airspace   n.领空,（某国的）空域
birdcage   n.鸟笼
chick   n.小鸡
disaster   n.灾难；祸患
excuse  n.借口.辩解vt.原谅.宽恕
foolish   a.愚蠢的，傻的
how  ad.怎样,如何；多少；多么
mix  v.混合，搅拌
pint  n.（液量单位）品脱
respect   vt.&n.尊敬，尊重
shadow   n.影子,阴影
soldier   n.士兵，战士
suit   vt.适合n.一套（衣服）
tight  a.紧的
wooden  a.木制的
contrary   n./a.相反相反的
alarm   n.警报
birth   n.出生；诞生
chicken   n.鸡；鸡肉
discount   n.折扣
exercise  n.锻炼，做操；练习，习题vi.锻炼
foot  n.足，脚；英尺
however  ad.可是conj.然而，可是，尽管如此
mixture  n.混合物
pioneer   n.先锋，开拓者
respond   v.回答,回应,作出反应
shake  v.（使）动摇，震动
solid  a.结实的,固体的n.固体
suite   n.套间；组曲
till  conj.&prep.直到,直到…为止
woo  ln.羊毛，羊绒
put  vt.放，摆
album   n.相册，影集，集邮簿
birthday   n.生日
chief   a.主要,首要的n.领导，头
discourage   vt.（使）气馁；打消（做…的念头）
exhibition  n.展览；展览会
football  n.（英式）足球；（美式）橄榄球
howl  vi.嚎叫，嚎哭
millimetre   n.毫米
pipe  n.管子，输送管
responsibility   n.责任，负责
shall  v.aux.（表示将来）将要，会；……好吗
some   a.一些，若干；有些；某一pron.若干，一些
suitable   a.合适的，适宜的
time  n.时间;时期;钟点,次,回vt.测定…的时间,记录…的时间
woollen  a.羊毛的，羊毛制的
attitude   n.态度，看法
alcohol   n.含酒精饮料，酒
birthplace   n.出生地；故乡
child  n.孩子，儿童
discover   vt.发现
exist  vi.存在
for  prep.为了…；向…，往…；与…交换；防备…；适合…；因为…；在…期间；对于…；对…来说conj.因为，由于
hug  v.拥抱
mobile  a.活动的，可移动的
pity   n.怜悯，同情
rest   n.休息；剩余的部分，其余的人（物）vi.休息，歇息
shallow   a.浅的,不深的,肤浅的
somebody  pron.某人；有人；有名气的人
suitcase   n.小提箱,衣箱
timetable  n.（火车、公共汽车等）时间表；（学校）课表
word  n.词，单词；话
contribute  v.贡献
alcoholic   a./n.含酒精的，酒鬼
biscuit   n.饼干
childhood   n.幼年时代，童年
discovery   n.发现
existence  n.存在；生存；存在物
forbid  vt.禁止，不许
huge  a.巨大的，庞大的
mobilephone  手提电话，手机
place   n.地方，处所v.放置，安置，安排
restaurant   n.饭馆,饭店
shame   n.遗憾的事；羞愧
someone   pron.某一个人
summary   n.摘要，概要
tin  n.（英）罐头，听头
work  n.工作,劳动,事情vi.工作;运转,活动
puzzle  n.难题,（字、画）谜
algebra   n.代数
bishop   n.主教
chimney   n.烟囱，烟筒
discrimination   n.歧视
exit  n.出口，太平门
